time, est_x, est_y, est_theta, sigma_x, sigma_y,sigma_theta,
0.032, 0, 0, 2.68847e-05, 0.0025, 0.0025, 0.000625, 
0.064, 0.00147838, 1.01548e-06, 0.0013469, 0.005, 0.005, 0.00125, 
0.096, 0.00295678, 3.93163e-06, 0.00259811, 0.0075, 0.00750001, 0.001875, 
0.128, 0.00443517, 9.28348e-06, 0.00464196, 0.01, 0.01, 0.0025, 
0.16, 0.00591354, 1.78511e-05, 0.0069485, 0.0125, 0.0125, 0.003125, 
0.192, 0.00739189, 3.00039e-05, 0.00949213, 0.015, 0.0150001, 0.00375, 
0.224, 0.00887021, 4.5241e-05, 0.0111212, 0.0175, 0.0175001, 0.004375, 
0.256, 0.0103485, 6.29769e-05, 0.0128729, 0.02, 0.0200002, 0.005, 
0.288, 0.0118268, 8.29119e-05, 0.0140963, 0.0225, 0.0225003, 0.005625, 
0.32, 0.013305, 0.000104049, 0.0144996, 0.025, 0.0250004, 0.00625, 
0.352, 0.0147833, 0.000126111, 0.0153469, 0.0275, 0.0275005, 0.006875, 
0.384, 0.0162615, 0.000149653, 0.016502, 0.03, 0.0300007, 0.0075, 
0.416, 0.0177396, 0.000175531, 0.0185088, 0.0325, 0.0325009, 0.008125, 
0.448, 0.0192178, 0.00020463, 0.0208588, 0.035, 0.0350011, 0.00875, 
0.48, 0.0206958, 0.000237484, 0.0235902, 0.0375, 0.0375014, 0.009375, 
0.512, 0.0221738, 0.000273038, 0.0245132, 0.04, 0.0400017, 0.01, 
0.544, 0.0236517, 0.000310398, 0.0260331, 0.0425, 0.042502, 0.010625, 
0.576, 0.0251295, 0.000350678, 0.0284641, 0.045, 0.0450024, 0.01125, 
0.608, 0.0266073, 0.000393989, 0.0301371, 0.0475, 0.0475029, 0.011875, 
0.64, 0.028085, 0.000439837, 0.0318955, 0.05, 0.0500034, 0.0125, 
0.672, 0.0295626, 0.000488484, 0.0339274, 0.0525, 0.0525039, 0.013125, 
0.704, 0.0310401, 0.000540003, 0.0357824, 0.055, 0.0550045, 0.01375, 
0.736, 0.0325175, 0.000593088, 0.036047, 0.0575, 0.0575052, 0.014375, 
0.768, 0.0339949, 0.000648358, 0.0387404, 0.06, 0.0600059, 0.015, 
0.8, 0.0354722, 0.000706979, 0.0405841, 0.0625, 0.0625067, 0.015625, 
0.832, 0.0369493, 0.000768895, 0.0432006, 0.065, 0.0650075, 0.01625, 
0.864, 0.0384262, 0.000835046, 0.0463202, 0.0675, 0.0675085, 0.016875, 
0.896, 0.039903, 0.000903384, 0.0461611, 0.07, 0.0700095, 0.0175, 
0.928, 0.0413798, 0.000971694, 0.046282, 0.0725, 0.0725105, 0.018125, 
0.96, 0.0428565, 0.00104254, 0.0495906, 0.075, 0.0750117, 0.01875, 
0.992, 0.044333, 0.00111734, 0.0516437, 0.0775, 0.0775129, 0.019375, 
1.024, 0.0458094, 0.00119425, 0.0524488, 0.08, 0.0800142, 0.02, 
1.056, 0.0472858, 0.00127246, 0.0534109, 0.0825, 0.0825156, 0.020625, 
1.088, 0.048762, 0.00135213, 0.0544184, 0.085, 0.0850171, 0.02125, 
1.12, 0.0502381, 0.00143389, 0.0562493, 0.0875, 0.0875187, 0.021875, 
1.152, 0.0517141, 0.00151847, 0.0582243, 0.09, 0.0900203, 0.0225, 
1.184, 0.0531899, 0.00160641, 0.0608101, 0.0925, 0.0925221, 0.023125, 
1.216, 0.0546655, 0.00169753, 0.0625363, 0.095, 0.095024, 0.02375, 
1.248, 0.0561409, 0.0017909, 0.0638651, 0.0975, 0.0975259, 0.024375, 
1.28, 0.0576162, 0.00188735, 0.0667147, 0.1, 0.100028, 0.025, 
1.312, 0.0590912, 0.0019875, 0.068861, 0.1025, 0.10253, 0.025625, 
1.344, 0.0605661, 0.00208972, 0.0695466, 0.105, 0.105032, 0.02625, 
1.376, 0.0620408, 0.00219306, 0.0703539, 0.1075, 0.107535, 0.026875, 
1.408, 0.0635156, 0.00229705, 0.0704466, 0.11, 0.110037, 0.0275, 
1.44, 0.0649902, 0.00240231, 0.0720746, 0.1125, 0.11254, 0.028125, 
1.472, 0.0664646, 0.00251065, 0.0746145, 0.115, 0.115043, 0.02875, 
1.504, 0.0679388, 0.00262262, 0.077005, 0.1175, 0.117546, 0.029375, 
1.536, 0.0694128, 0.00273604, 0.0765933, 0.12, 0.120049, 0.03, 
1.568, 0.0708868, 0.00285051, 0.0784166, 0.1225, 0.122552, 0.030625, 
1.6, 0.0723606, 0.00296669, 0.0789126, 0.125, 0.125055, 0.03125, 
1.632, 0.0738344, 0.00308346, 0.0792117, 0.1275, 0.127558, 0.031875, 
1.664, 0.0753082, 0.00320077, 0.0796651, 0.13, 0.130062, 0.0325, 
1.696, 0.0767818, 0.00331954, 0.0811778, 0.1325, 0.132566, 0.033125, 
1.728, 0.0782553, 0.00343963, 0.0814613, 0.135, 0.135069, 0.03375, 
1.76, 0.0797286, 0.00356238, 0.0847848, 0.1375, 0.137573, 0.034375, 
1.792, 0.0812015, 0.00368955, 0.0874693, 0.14, 0.140078, 0.035, 
1.824, 0.0826743, 0.00381865, 0.0874068, 0.1425, 0.142582, 0.035625, 
