time, sensor_id, node_x, node_y, T_in, T_out, signal_strength,
32.032, 0, 1.79621, -0.115357, 14.9831, 8.56307, 1.56929, 
32.16, 0, 1.79621, -0.115357, 15.0445, 8.89605, 1.57922, 
32.288, 0, 1.79621, -0.115357, 15.0453, 9.15374, 1.58905, 
32.416, 0, 1.79621, -0.115357, 15.0578, 8.10189, 1.59934, 
32.544, 0, 1.79621, -0.115357, 15.029, 8.96553, 1.60956, 
32.672, 0, 1.79621, -0.115357, 15.0381, 8.63512, 1.61972, 
32.8, 0, 1.79621, -0.115357, 15.1409, 8.49672, 1.62983, 
32.928, 0, 1.79621, -0.115357, 14.9558, 8.9227, 1.63988, 
33.056, 0, 1.79621, -0.115357, 14.8048, 8.33271, 1.64942, 
33.184, 0, 1.79621, -0.115357, 15.1138, 8.48041, 1.65937, 
33.312, 0, 1.79621, -0.115357, 14.9941, 8.39289, 1.66923, 
33.44, 0, 1.79621, -0.115357, 14.9939, 8.75852, 1.67815, 
33.568, 0, 1.79621, -0.115357, 15.2065, 8.51181, 1.68749, 
33.696, 0, 1.79621, -0.115357, 15.0382, 8.7111, 1.69674, 
33.824, 0, 1.79621, -0.115357, 14.9077, 8.58042, 1.70593, 
33.952, 0, 1.79621, -0.115357, 15.2089, 8.94828, 1.71508, 
34.08, 0, 1.79621, -0.115357, 15.041, 8.8902, 1.72414, 
34.208, 0, 1.79621, -0.115357, 15.0812, 8.50989, 1.7335, 
34.336, 0, 1.79621, -0.115357, 15.0698, 8.15868, 1.74194, 
34.464, 0, 1.79621, -0.115357, 15.1548, 8.40152, 1.75072, 
34.592, 0, 1.79621, -0.115357, 14.8811, 8.72719, 1.75951, 
34.72, 0, 1.79621, -0.115357, 15.3563, 8.39563, 1.76854, 
34.848, 0, 1.79621, -0.115357, 15.3782, 8.74445, 1.77744, 
34.976, 0, 1.79621, -0.115357, 15.198, 8.79798, 1.78621, 
35.104, 0, 1.79621, -0.115357, 15.1634, 8.12416, 1.79484, 
35.232, 0, 1.79621, -0.115357, 15.347, 8.63853, 1.80332, 
35.36, 0, 1.79621, -0.115357, 15.1645, 8.45369, 1.81127, 
35.488, 0, 1.79621, -0.115357, 15.3753, 8.19994, 1.8195, 
35.616, 0, 1.79621, -0.115357, 15.2701, 8.12188, 1.82718, 
35.744, 0, 1.79621, -0.115357, 15.2894, 8.27783, 1.83511, 
