time, x, y, heading, vel_x, vel_y, vel_heading,
0.008, -1.99204e-09, -1.53147e-07, 0.00014498, 0, 0, 0, 
0.016, -1.98488e-09, 4.81393e-09, 0.000110752, 8.95544e-10, 1.97451e-05, -0.00427855, 
0.024, -1.65799e-09, -1.05059e-08, 8.67971e-05, 4.08613e-08, -1.91498e-06, -0.00299432, 
0.032, -1.35727e-09, -2.04038e-08, 6.85945e-05, 3.75893e-08, -1.23724e-06, -0.00227532, 
0.04, 0.000310905, -2.6583e-08, 0.000401766, 0.0388633, -7.72394e-07, 0.0416465, 
0.048, 0.000679966, 3.0456e-05, 0.000611101, 0.0461326, 0.00381033, 0.0261668, 
0.056, 0.00104953, 6.18229e-05, 0.00074271, 0.0461959, 0.00392086, 0.0164512, 
0.064, 0.00141922, 9.36035e-05, 0.00090069, 0.0462107, 0.00397257, 0.0197474, 
0.072, 0.00178893, 0.00012471, 0.00133079, 0.0462144, 0.00388834, 0.0537624, 
0.08, 0.00215864, 0.000152115, 0.00180309, 0.0462137, 0.00342555, 0.0590371, 
0.088, 0.00252834, 0.000175343, 0.00229113, 0.0462117, 0.00290359, 0.061006, 
0.096, 0.00289801, 0.000194587, 0.00278589, 0.0462094, 0.00240543, 0.0618439, 
0.104, 0.00326767, 0.000210206, 0.00328373, 0.0462074, 0.00195239, 0.0622306, 
0.112, 0.00363732, 0.000222569, 0.0037831, 0.0462057, 0.00154545, 0.0624211, 
0.12, 0.00400695, 0.000232001, 0.00428327, 0.0462043, 0.00117897, 0.0625211, 
0.128, 0.00437658, 0.000238768, 0.00478388, 0.0462031, 0.000845809, 0.0625769, 
0.136, 0.00474619, 0.000243082, 0.00528476, 0.0462022, 0.000539275, 0.0626101, 
0.144, 0.00511581, 0.000245111, 0.00578581, 0.0462015, 0.000253682, 0.0626311, 
0.152, 0.00548541, 0.000244987, 0.00628697, 0.0462008, -1.55818e-05, 0.0626451, 
0.16, 0.00585501, 0.000242809, 0.00678821, 0.0462003, -0.000272171, 0.062655, 
0.168, 0.00622461, 0.000238658, 0.00728951, 0.0461999, -0.000518948, 0.0626621, 
0.176, 0.00659421, 0.000232593, 0.00779085, 0.0461995, -0.000758139, 0.0626674, 
0.184, 0.0069638, 0.000224661, 0.00829222, 0.0461991, -0.000991469, 0.0626714, 
0.192, 0.00733339, 0.000214899, 0.00879362, 0.0461988, -0.00122027, 0.0626744, 
0.2, 0.00770298, 0.000203334, 0.00929503, 0.0461985, -0.00144559, 0.0626768, 
0.208, 0.00807257, 0.000189988, 0.00979646, 0.0461982, -0.0016682, 0.0626786, 
0.216, 0.00844215, 0.000174878, 0.0102979, 0.0461979, -0.00188874, 0.06268, 
0.224, 0.00881173, 0.000158017, 0.0107993, 0.0461976, -0.00210767, 0.062681, 
0.232, 0.00918131, 0.000139414, 0.0113008, 0.0461973, -0.00232537, 0.0626818, 
0.24, 0.00955089, 0.000119077, 0.0118022, 0.0461975, -0.00254212, 0.0626805, 
0.248, 0.00992047, 9.70128e-05, 0.0123035, 0.0461976, -0.00275804, 0.062651, 
0.256, 0.01029, 7.32258e-05, 0.0128044, 0.0461972, -0.00297338, 0.0626218, 
0.264, 0.0106596, 4.77187e-05, 0.0133052, 0.0461968, -0.00318839, 0.0625951, 
0.272, 0.0110292, 2.04939e-05, 0.0138058, 0.0461964, -0.00340311, 0.0625703, 
0.28, 0.0113988, -8.44677e-06, 0.0143061, 0.046196, -0.00361758, 0.062547, 
0.288, 0.0117683, -3.91017e-05, 0.0148063, 0.0461956, -0.00383186, 0.062525, 
0.296, 0.0121379, -7.14698e-05, 0.0153064, 0.0461953, -0.00404601, 0.062504, 
